Location,Cases,Deaths
World,"38,48,59,233","57,00,923"
European Union,"9,02,21,439","9,60,779"
United States,"7,56,80,487","8,94,316"
India,"4,18,03,318","4,98,983"
Brazil,"2,58,20,745","6,29,301"
France,"1,99,24,939","1,31,655"
United Kingdom,"1,75,58,231","1,57,542"
Russia,"1,19,36,064","3,25,986"
Turkey,"1,18,33,165","87,831"
Italy,"1,12,35,745","1,47,320"
Germany,"1,04,74,992","1,18,339"
Spain,"1,01,25,348","93,857"
Argentina,"84,72,848","1,21,834"
Iran,"64,46,404","1,32,563"
Colombia,"59,16,825","1,34,781"
Mexico,"49,85,689","3,06,920"
Poland,"49,81,321","1,05,753"
Netherlands,"46,14,601","21,382"
Indonesia,"43,53,370","1,44,320"
Ukraine,"43,23,009","1,07,303"
South Africa,"36,12,809","95,463"
Philippines,"35,77,298","54,097"
Peru,"32,86,151","2,06,220"
Belgium,"32,29,629","29,132"
Czech Republic,"31,00,462","37,281"
Canada,"30,81,616","34,207"
Israel,"30,37,135","9,152"
Japan,"29,14,824","18,964"
Malaysia,"28,82,060","31,992"
Portugal,"27,45,383","20,024"
Australia,"26,44,760","3,987"
Thailand,"24,65,723","22,228"
Vietnam,"22,95,494","37,777"
Switzerland,"22,94,471","12,749"
Romania,"22,92,345","60,242"
Iraq,"22,26,776","24,430"
Sweden,"22,23,115","16,028"
Chile,"22,21,276","39,742"
Greece,"19,84,544","23,721"
Austria,"19,20,882","14,143"
Denmark,"18,42,936","3,790"
Bangladesh,"18,24,180","28,461"
Serbia,"17,14,863","13,748"
Slovakia,"16,17,288","17,877"
Hungary,"15,82,517","41,548"
Pakistan,"14,42,263","29,372"
Kazakhstan,"13,40,410","18,547"
Jordan,"12,60,983","13,248"
Georgia,"12,26,444","15,060"
Republic of Ireland,"11,93,156","6,228"
Morocco,"11,38,847","15,464"
Cuba,"10,47,860","8,415"
Bulgaria,"9,72,260","33,492"
Nepal,"9,59,775","11,764"
Croatia,"9,54,555","13,947"
Lebanon,"9,39,282","9,638"
Tunisia,"9,17,814","26,362"
South Korea,"9,07,214","6,812"
Bolivia,"8,63,675","21,045"
United Arab Emirates,"8,49,305","2,251"
Norway,"8,27,585","1,467"
Belarus,"7,48,505","6,084"
Slovenia,"7,45,980","5,893"
Ecuador,"7,32,038","34,533"
Costa Rica,"7,08,560","7,605"
Panama,"7,05,880","7,752"
Lithuania,"7,01,601","7,917"
Guatemala,"6,98,385","16,421"
Saudi Arabia,"6,95,217","8,943"
Uruguay,"6,90,496","6,540"
Azerbaijan,"6,70,313","8,779"
Sri Lanka,"6,13,478","15,492"
Paraguay,"5,94,430","17,426"
Kuwait,"5,58,745","2,501"
Dominican Republic,"5,57,919","4,313"
Palestine,"5,46,176","5,116"
Myanmar,"5,36,536","19,310"
Finland,"5,01,152","2,012"
Venezuela,"4,87,775","5,454"
Ethiopia,"4,65,792","7,346"
Moldova,"4,49,840","10,691"
Mongolia,"4,46,770","2,116"
Libya,"4,38,303","6,035"
Egypt,"4,30,480","22,735"
Latvia,"4,12,402","4,911"
Honduras,"3,91,874","10,512"
Bahrain,"3,90,602","1,409"
Armenia,"3,74,878","8,060"
Singapore,"3,62,176",859
Estonia,"3,51,240","2,039"
Bosnia and Herzegovina,"3,51,219","14,555"
Oman,"3,44,043","4,153"
Qatar,"3,41,628",649
Kenya,"3,21,671","5,593"
Zambia,"3,05,959","3,921"
North Macedonia,"2,72,437","8,470"
Cyprus,"2,62,867",736
Albania,"2,61,240","3,362"
