Location,Vaccinated,Percent
World,"4,82,13,36,990",61.20%
China,"1,26,60,70,000",87.70%
India,"94,62,59,127",67.90%
European Union,"33,35,51,364",74.60%
United States,"25,03,78,993",75.40%
Indonesia,"18,46,80,997",66.80%
Brazil,"17,09,11,850",79.90%
Pakistan,"10,63,28,291",47.20%
Japan,"10,13,61,954",80.40%
Bangladesh,"9,54,40,321",57.40%
Mexico,"8,36,83,108",64.20%
Vietnam,"7,90,78,859",80.50%
Russia,"7,67,32,949",52.60%
Philippines,"6,64,48,915",60.40%
Germany,"6,30,90,744",75.20%
Iran,"6,09,05,266",71.60%
Turkey,"5,74,51,069",67.60%
France,"5,37,93,238",79.80%
United Kingdom,"5,23,73,222",76.80%
Thailand,"5,21,82,896",74.60%
Italy,"5,02,71,383",83.30%
South Korea,"4,46,41,667",87.00%
Spain,"4,09,27,320",87.50%
Colombia,"4,03,48,092",78.70%
Argentina,"3,97,50,458",87.20%
Egypt,"3,83,12,663",36.80%
Canada,"3,23,63,291",85.00%
Malaysia,"2,60,70,519",79.50%
Saudi Arabia,"2,56,06,327",72.50%
Peru,"2,50,16,848",75.00%
Morocco,"2,47,60,419",66.30%
Poland,"2,23,49,451",59.10%
Myanmar,"2,21,06,391",40.30%
Australia,"2,17,38,444",84.30%
Venezuela,"2,08,36,636",72.60%
South Africa,"1,96,11,652",32.70%
Uzbekistan,"1,93,44,734",57.00%
Taiwan,"1,90,91,332",80.00%
Chile,"1,76,13,651",91.70%
Nepal,"1,68,30,395",56.70%
Sri Lanka,"1,67,10,257",77.70%
Ukraine,"1,53,96,723",35.40%
Nigeria,"1,48,34,559",7.00%
Ecuador,"1,46,53,284",81.90%
Cambodia,"1,43,56,864",84.70%
Netherlands,"1,33,89,929",78.00%
Uganda,"1,08,96,664",23.10%
Mozambique,"1,07,59,191",33.50%
Cuba,"1,05,71,945",93.40%
United Arab Emirates,"98,90,567",99.00%
Angola,"97,13,546",28.60%
Portugal,"95,88,037",94.30%
Ethiopia,"93,72,085",8.00%
Iraq,"93,25,542",22.60%
Kazakhstan,"92,03,671",48.50%
Belgium,"91,46,235",78.60%
Rwanda,"85,07,727",64.10%
Romania,"81,12,587",42.40%
Sweden,"77,78,355",76.60%
Greece,"77,72,377",75.00%
Algeria,"72,47,787",16.20%
Tunisia,"71,00,854",59.50%
Dominican Republic,"70,05,519",64.00%
Guatemala,"69,43,832",38.00%
Czech Republic,"69,29,375",64.60%
Ghana,"68,77,682",21.70%
Austria,"67,57,491",74.70%
Bolivia,"67,36,240",56.90%
Kenya,"67,26,073",12.20%
Israel,"66,91,819",72.00%
Hungary,"63,66,402",66.10%
Switzerland,"60,71,477",69.70%
Belarus,"53,91,526",57.10%
Hong Kong,"53,61,092",71.00%
Nicaragua,"52,79,733",78.80%
Azerbaijan,"52,36,758",51.20%
Ivory Coast,"52,08,637",19.20%
Honduras,"50,35,861",50.00%
Singapore,"49,29,611",90.40%
Denmark,"48,45,405",83.30%
Laos,"46,53,477",63.10%
Jordan,"45,98,992",44.80%
Afghanistan,"45,77,740",11.50%
El Salvador,"45,33,437",69.50%
Tajikistan,"45,22,962",46.40%
Finland,"43,91,606",79.20%
Norway,"43,16,281",79.00%
Zimbabwe,"42,82,687",28.40%
New Zealand,"41,90,699",81.80%
Costa Rica,"40,59,598",79.00%
Republic of Ireland,"40,21,348",80.70%
Paraguay,"35,40,518",49.00%
Guinea,"34,53,176",25.60%
Kuwait,"33,68,291",77.80%
Serbia,"33,35,402",48.50%
Sudan,"31,94,518",7.10%
Oman,"31,81,438",60.90%
Panama,"31,25,125",71.30%
Uruguay,"29,13,787",83.60%
Slovakia,"27,98,118",51.40%
Tanzania,"25,45,391",4.10%
Lebanon,"24,43,750",36.10%
Qatar,"23,60,308",80.50%
Croatia,"22,95,525",56.20%
Syria,"22,77,523",12.50%
Mongolia,"22,69,816",68.20%
Palestine,"20,79,315",39.80%
Libya,"20,46,913",29.40%
Benin,"20,39,793",16.40%
Lithuania,"19,43,041",72.20%
Bulgaria,"19,04,143",27.60%
Georgia,"15,12,441",38.00%
